date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-11-04 00:00:00+00:00,81.92,82.0,81.88,81.96,279700,62.0989317192,62.1595752072,62.0686099752,62.1292534632,279700,0.0,1.0
2004-11-05 00:00:00+00:00,81.71,81.78,81.69,81.75,335100,61.9397425632,61.9928056152,61.9245816912,61.9700643072,335100,0.0,1.0
2004-11-08 00:00:00+00:00,81.67,81.72,81.62,81.71,224400,61.9094208192,61.9473229992,61.8715186392,61.9397425632,224400,0.0,1.0
2004-11-09 00:00:00+00:00,81.73,81.74,81.68,81.73,198700,61.9549034352,61.9624838712,61.9170012552,61.9549034352,198700,0.0,1.0
2004-11-10 00:00:00+00:00,81.63,81.72,81.62,81.7,170600,61.8790990752,61.9473229992,61.8715186392,61.9321621272,170600,0.0,1.0
2004-11-11 00:00:00+00:00,81.69,81.73,81.6,81.66,121500,61.9245816912,61.9549034352,61.8563577672,61.9018403832,121500,0.0,1.0
2004-11-12 00:00:00+00:00,81.67,81.73,81.64,81.69,179500,61.9094208192,61.9549034352,61.8866795112,61.9245816912,179500,0.0,1.0
2004-11-15 00:00:00+00:00,81.67,81.7,81.61,81.68,210300,61.9094208192,61.9321621272,61.8639382032,61.9170012552,210300,0.0,1.0
2004-11-16 00:00:00+00:00,81.61,81.65,81.59,81.6,143600,61.8639382032,61.8942599472,61.8487773312,61.8563577672,143600,0.0,1.0
2004-11-17 00:00:00+00:00,81.73,81.73,81.63,81.66,122300,61.9549034352,61.9549034352,61.8790990752,61.9018403832,122300,0.0,1.0
2004-11-18 00:00:00+00:00,81.72,81.72,81.65,81.7,287700,61.9473229992,61.9473229992,61.8942599472,61.9321621272,287700,0.0,1.0
2004-11-19 00:00:00+00:00,81.59,81.7,81.56,81.69,209400,61.8487773312,61.9321621272,61.8260360232,61.9245816912,209400,0.0,1.0
2004-11-22 00:00:00+00:00,81.61,81.63,81.57,81.62,466700,61.8639382032,61.8790990752,61.8336164592,61.8715186392,466700,0.0,1.0
2004-11-23 00:00:00+00:00,81.6,81.66,81.55,81.6,262600,61.8563577672,61.9018403832,61.8184555872,61.8563577672,262600,0.0,1.0
2004-11-24 00:00:00+00:00,81.59,81.62,81.55,81.59,184200,61.8487773312,61.8715186392,61.8184555872,61.8487773312,184200,0.0,1.0
2004-11-26 00:00:00+00:00,81.51,81.55,81.5,81.51,138700,61.7881338432,61.8184555872,61.7805534072,61.7881338432,138700,0.0,1.0
2004-11-29 00:00:00+00:00,81.52,81.52,81.47,81.5,144100,61.7957142792,61.7957142792,61.7578120992,61.7805534072,144100,0.0,1.0
2004-11-30 00:00:00+00:00,81.54,81.6,81.51,81.51,398000,61.8108751512,61.8563577672,61.7881338432,61.7881338432,398000,0.0,1.0
2004-12-01 00:00:00+00:00,81.45,81.52,81.42,81.52,188300,61.8525675492,61.9057250658,61.8297857564,61.9057250658,188300,0.145,1.0
2004-12-02 00:00:00+00:00,81.42,81.44,81.34,81.4,227800,61.8297857564,61.8449736183,61.7690343088,61.8145978945,227800,0.0,1.0
2004-12-03 00:00:00+00:00,81.6,81.64,81.57,81.59,418300,61.9664765134,61.9968522372,61.9436947206,61.9588825824,418300,0.0,1.0
2004-12-06 00:00:00+00:00,81.61,81.63,81.54,81.58,197200,61.9740704443,61.9892583062,61.9209129277,61.9512886515,197200,0.0,1.0
2004-12-07 00:00:00+00:00,81.61,81.61,81.51,81.59,516500,61.9740704443,61.9740704443,61.8981311349,61.9588825824,516500,0.0,1.0
2004-12-08 00:00:00+00:00,81.64,81.67,81.55,81.55,141300,61.9968522372,62.01963403,61.9285068587,61.9285068587,141300,0.0,1.0
2004-12-09 00:00:00+00:00,81.63,81.7,81.59,81.64,263600,61.9892583062,62.0424158228,61.9588825824,61.9968522372,263600,0.0,1.0
2004-12-10 00:00:00+00:00,81.64,81.66,81.6,81.65,245900,61.9968522372,62.0120400991,61.9664765134,62.0044461681,245900,0.0,1.0
2004-12-13 00:00:00+00:00,81.58,81.64,81.54,81.6,237400,61.9512886515,61.9968522372,61.9209129277,61.9664765134,237400,0.0,1.0
2004-12-14 00:00:00+00:00,81.6,81.64,81.53,81.59,300400,61.9664765134,61.9968522372,61.9133189968,61.9588825824,300400,0.0,1.0
2004-12-15 00:00:00+00:00,81.68,81.68,81.61,81.65,325700,62.027227961,62.027227961,61.9740704443,62.0044461681,325700,0.0,1.0
2004-12-16 00:00:00+00:00,81.59,81.67,81.53,81.63,326100,61.9588825824,62.01963403,61.9133189968,61.9892583062,326100,0.0,1.0
2004-12-17 00:00:00+00:00,81.56,81.6,81.52,81.52,92700,61.9361007896,61.9664765134,61.9057250658,61.9057250658,92700,0.0,1.0
2004-12-20 00:00:00+00:00,81.56,81.61,81.51,81.59,260100,61.9361007896,61.9740704443,61.8981311349,61.9588825824,260100,0.0,1.0
2004-12-21 00:00:00+00:00,81.57,81.58,81.52,81.55,283300,61.9436947206,61.9512886515,61.9057250658,61.9285068587,283300,0.0,1.0
2004-12-22 00:00:00+00:00,81.57,81.59,81.53,81.57,709900,61.9436947206,61.9588825824,61.9133189968,61.9436947206,709900,0.0,1.0
2004-12-23 00:00:00+00:00,81.55,81.63,81.54,81.63,417600,61.9285068587,61.9892583062,61.9209129277,61.9892583062,417600,0.0,1.0
2004-12-27 00:00:00+00:00,81.5,81.57,81.47,81.54,142900,61.8905372039,61.9436947206,61.8677554111,61.9209129277,142900,0.0,1.0
